aaa	工
dgc	古巴
dgd	三大
dge	威胁
dgf	在一起
dgg	三
dgh	古
dgi	石油
dgj	硬
dgk	感
dgl	礓
dgm	碛
dgn	感情
dgo	感应
dgp	研究
dgq	厉
dgr	研制
dgs	古朴
dgt	厂
dgu	砰
dgv	威
dgw	硬件
dgx	戌
dgy	厂商
dha	戛
dhb	存
dhc	破
dhd	慧
dhe	甭
dhf	在
dhg	歪
dhh	在此
dhi	不
dhj	不是
dhk	丰
dhl	不畏
dhm	不同
dhn	不必
dho	不断
dhp	还
dhq	艳
dhr	存折
dhs	还要
dht	夏
dhu	还将
dhv	契
dhw	不仅
dhx	在编
dhy	在京
dia	耩
dib	耔
dic	耙
did	耨
die	硝
dif	耕
dig	春小麦
dih	耜
dii	耒
dij	耦
dik	 
dil	不少国家
dim	大学同学
din	耗尽
dio	耧
dip	大兴安岭
diq	 
dir	在党的领导下
dis	不清楚
dit	砂
diu	泵
div	䎩
diw	耠
dix	耗费
diy	耪
dja	大量工作
djb	厚
djc	 
djd	大是大非
dje	厚爱
djf	百
djg	碍
djh	砷
dji	不是没有
djj	夰
djk	 
djl	硕果累累
djm	石景山
djn	奄
djo	厘米
djp	厚礼
djq	碣
djr	大量的
djs	䂺
djt	大显身手
dju	面临着
djv	百姓
djw	百余
djx	礘
djy	厚望
dka	历史范畴
dkb	历史阶段
dkc	有口难辩
dkd	大吃大喝
dke	右边
dkf	右
dkg	大中型企业
dkh	历史上
dki	大中小
dkj	夼
dkk	历史唯物主义
dkl	有中国特色社会主义
dkm	大别山
dkn	历史性
dko	 
dkp	不足之处
dkq	 
dkr	历史的
dks	历史机遇
dkt	历史条件
dku	历史意义
dkv	 
dkw	三中全会
dkx	历史经验
dky	历史文化
dla	大罢工
dlb	在国际上
dlc	奋勇
dld	百思不得其解
dle	奋力
dlf	奋
dlg	碨
dlh	砗
dli	大国沙文主义
dlj	 
dlk	厍
dll	大团圆
dlm	在国内外
dln	奋发
dlo	 
dlp	三连冠
dlq	 
dlr	 
dls	在思想上
dlt	胡思乱想
dlu	奋斗
dlv	 
dlw	㎎
dlx	大团结
dly	 
dma	碘
dmb	冇
dmc	面对
dmd	碳
dme	而且
dmf	碉
dmg	硐
dmh	布
dmi	布满
dmj	而
dmk	 
dml	布置
dmm	原则同意
dmn	布局
dmo	大幅度
dmp	不败之地
dmq	砚
dmr	不同的
dms	耐酸
dmt	面向
dmu	页
dmv	不同寻常
dmw	而今
dmx	面纱
dmy	布朗
dna	碾
dnb	乭
dnc	不怕艰苦
dnd	臧
dne	威慑力量
dnf	成都
dng	䎁
dnh	嘏
dni	不敢当
dnj	尴
dnk	成员
dnl	成因
dnm	成败
dnn	盛情
dno	 
dnp	成灾
dnq	尥
dnr	砀
dns	成本
dnt	成长
dnu	怘
dnv	尢
dnw	尬
dnx	盛
dny	尤
doa	矿区
dob	不断取得
doc	砿
dod	矿石
doe	不断加强
dof	不断地
dog	不断更新
doh	 
doi	不断深入
doj	灰暗
dok	不断吸取
dol	盔
dom	矿山
don	不断发展
doo	矿业
dop	不断完善
doq	磷
dor	不断提高
dos	礳
dot	矿
dou	灰
dov	磄
dow	不断创造
dox	硝烟弥漫
doy	不应该
dpa	研究工作
dpb	研究院
dpc	 
dpd	达成
dpe	达县
dpf	牵动
dpg	碹
dph	达卡
dpi	达
dpj	大容量
dpk	研究中心
dpl	大客车
dpm	 
dpn	太空飞行
dpo	石家庄
dpp	研究室
dpq	碗
dpr	研究所
dps	达标
dpt	牵
dpu	牵头
dpv	 
dpw	研究人员
dpx	砣
dpy	研究课题
dqa	砥
dqb	克
dqc	 
dqd	兢
dqe	确
dqf	大包干
dqg	碒
dqh	大名鼎鼎
dqi	胡锦涛
dqj	克星
dqk	㚚
dql	面包车
dqm	不多见
dqn	耐久性
dqo	大多数
dqp	确定
dqq	有色金属
dqr	克拉
dqs	 
dqt	不外乎
dqu	不久前
dqv	碀
dqw	砍
dqx	 
dqy	矽
dra	大白菜
drb	研制出
drc	在所难免
drd	研制成功
dre	原貌
drf	有所增加
drg	砶
drh	斫
dri	愿
drj	有的是
drk	爽口
drl	原因
drm	原则
drn	大气层
dro	原料
drp	原定
drq	磈
drr	爽
drs	原本
drt	碑
dru	愿意
drv	原始
drw	成年人
drx	成反比
dry	愿望
dsa	大本营
dsb	不可阻挡
dsc	有可能
dsd	不可否认
dse	有机肥料
dsf	奇才
dsg	硒
dsh	厢
dsi	大西洋
dsj	碴
dsk	厅
dsl	不可思议
dsm	奇峰
dsn	奇怪
dso	原材料
dsp	不相容
dsq	不可忽视
dsr	不可缺少
dss	大检查
dst	奇特
dsu	㚓
dsv	奇妙
dsw	不可估量
dsx	有机结合
dsy	奇迹
dta	在短期内
dtb	邦
dtc	 
dtd	不得不
dte	帮助
dtf	寿
dtg	有利于
dth	砟
dti	大街小巷
dtj	有利时机
dtk	硌
dtl	硇
dtm	礇
dtn	砾
dto	不适应
dtp	砭
dtq	大自然
dtr	硪
dts	有利可图
dtt	有利条件
dtu	不知道
dtv	不咎既往
dtw	寿命
dtx	故乡
dty	故
dua	碰巧
dub	厥
duc	 
dud	㕇
due	磁力
duf	辜
dug	砬
duh	奋斗目标
dui	有关法规
duj	鹩
duk	碚
dul	有关国家
dum	三门峡
dun	磁性
duo	碰
dup	大奖赛
duq	有关负责人
dur	有益的
dus	磁极
dut	磁盘
duu	冭
duv	磏
duw	大部分
dux	磁
duy	有关方面
dva	 
dvb	大杂院
dvc	厩
dvd	不妨碍
dve	感召力
dvf	友好城市
dvg	大好事
dvh	 
dvi	碌
dvj	大好时机
dvk	 
dvl	友好国家
dvm	 
dvn	 
dvo	大杂烩
dvp	原始社会
dvq	 
dvr	 
dvs	原始森林
dvt	友好往来
dvu	友好关系
dvv	大姑娘
dvw	友好合作关系
dvx	成群结队
dvy	友好访问
dwa	砼
dwb	春联
dwc	不仅能够
dwd	不仅不
dwe	舂
dwf	奉献
dwg	奏
dwh	百分点
dwi	仄
dwj	春
dwk	存储器
dwl	泰国
dwm	泰山
dwn	矶
dwo	百货店
dwp	百分之
dwq	大使馆
dwr	砜
dws	不仅要
dwt	秦
dwu	春意
dwv	不仅如此
dww	雁
dwx	百分比
dwy	礁
dxa	 
dxb	㔫
dxc	 
dxd	不约而同
dxe	 
dxf	龙井
dxg	袭击
dxh	成绩斐然
dxi	在经济上
dxj	砩
dxk	龙口
dxl	有比较才能有鉴别
dxm	龙山
dxn	䂗
dxo	垄断
dxp	成绩突出
dxq	 
dxr	牵线搭桥
dxs	 
dxt	龙舟
dxu	龙头
dxv	破纪录
dxw	三结合
dxx	砒
dxy	袭
dya	有计划
dyb	太阳
dyc	硫
dyd	飙
dye	戍边
dyf	有效地
dyg	砫
dyh	唇亡齿寒
dyi	太
dyj	在这里
dyk	礅
dyl	盇
dym	 
dyn	态
dyo	态度
dyp	太空
dyq	成交金额
dyr	态势
dys	太极
dyt	在这种情况下
dyu	磅
dyv	在京召开
dyw	碎
dyx	戍
dyy	砇
eaa	加工工业
eab	加工出口区
eac	加工能力
ead	加工厂
eae	朦胧
eaf	腻
eag	肛
eah	臔
eai	胨
eaj	舁
eak	膒
eal	䑅
eam	朠
ean	脦
eao	加工业
eap	朦
eaq	䏘
ear	用其所长
eas	毁林
eat	 
eau	月工资
eav	㥯
eaw	毁
eax	 
eay	加工订货
eba	服药
ebb	郛
ebc	服
ebd	采取有效措施
ebe	服用
ebf	孚
ebg	䏪
ebh	边防战士
ebi	乳汁
ebj	 
ebk	乳品
ebl	 
ebm	乳山
ebn	乳
ebo	 
ebp	边防军
ebq	服饰
ebr	采取措施
ebs	 
ebt	服务
ebu	服装
ebv	 
ebw	服从
ebx	 
eby	乳房
eca	胫
ecb	 
ecc	腏
ecd	肥大
ece	肥胖
ecf	肥城
ecg	 
ech	受骗上当
eci	肥沃
ecj	蜰
eck	胎
ecl	肥田
ecm	肥肉
ecn	肥
eco	肥料
ecp	 
ecq	胎儿
ecr	肥皂
ecs	 
ect	胎盘
ecu	 
ecv	 
ecw	朘
ecx	 
ecy	肥效
eda	膸
edb	受不了
edc	肱
edd	胸有成竹
ede	胚胎
edf	胯
edg	加在一起
edh	胚
edi	 
edj	貊
edk	 
edl	 
edm	须
edn	胆大心细
edo	采矿业
edp	 
edq	胆大包天
edr	遥感技术
eds	䐀
edt	须知
edu	用不着
edv	爱厂如家
edw	腠
edx	胧
edy	肽
eea	月薪
eeb	脬
eec	月台
eed	朋友
eee	月
eef	舀
eeg	朋
eeh	膄
eei	月光
eej	 
eek	月中
eel	 
eem	服服帖帖
een	㽰
eeo	月底
eep	月初
eeq	鹏
eer	月报
ees	肝胆相照
eet	肋
eeu	月产
eev	脮
eew	胁
eex	膎
eey	月亮
efa	膹
efb	肚子
efc	肢
efd	胸无大志
efe	膨胀
eff	边远地区
efg	肚
efh	肝
efi	肤浅
efj	肼
efk	膨
efl	 
efm	腩
efn	肟
efo	肝炎
efp	脖
efq	朊
efr	肤质
efs	脚本
eft	豺
efu	寽
efv	膤
efw	肤
efx	边境线
efy	肘
ega	助理工程师
egb	肫
egc	县
egd	且
ege	助
egf	县城
egg	助理
egh	 
egi	悬浮
egj	受到影响
egk	膈
egl	 
egm	肺
egn	毁灭性
ego	县政府
egp	悬空
egq	县外
egr	助手
egs	办事机构
egt	办事处
egu	肺癌
egv	受到好评
egw	雎
egx	胰
egy	县市
eha	用药
ehb	 
ehc	叟
ehd	腓
ehe	用力
ehf	用地
ehg	胩
ehh	用具
ehi	用水
ehj	用电
ehk	用
ehl	用车
ehm	 
ehn	胪
eho	用煤
ehp	用家
ehq	用钱
ehr	用手
ehs	 
eht	用处
ehu	辵
ehv	 
ehw	用途
ehx	頿
ehy	用户
eia	䝣
eib	 
eic	 
eid	 
eie	䏴
eif	 
eig	胱
eih	 
eii	 
eij	肺活量
eik	 
eil	盥
eim	䐝
ein	爱沙尼亚
eio	 
eip	膛
eiq	助学金
eir	脳
eis	 
eit	办学条件
eiu	加油站
eiv	胆小如鼠
eiw	膌
eix	 
eiy	 
eja	 
ejb	胆子
ejc	力量对比
ejd	胆大
eje	 
ejf	㸓
ejg	胆
ejh	刖
eji	力量源泉
ejj	胆量
ejk	受影响
ejl	腽
ejm	腢
ejn	胆怯
ejo	 
ejp	力量之源
ejq	 
ejr	 
ejs	腂
ejt	腥
eju	 
ejv	 
ejw	 
ejx	䐊
ejy	胆识
eka	加工
ekb	架子
ekc	驾
ekd	加大
eke	肿胀
ekf	胸中无数
ekg	加
ekh	肿
eki	加深
ekj	加紧
ekk	臊
ekl	加固
ekm	贺
ekn	加快
eko	加料
ekp	迦
ekq	 
ekr	加热
eks	架
ekt	加入
eku	肿瘤
ekv	妿
ekw	贺信
ekx	加强
eky	袈
ela	膕
elb	爱国卫生运动
elc	 
eld	胭
ele	舅
elf	爱国者
elg	舆
elh	胛
eli	爱国激情
elj	 
elk	 
ell	 
elm	 
eln	腮
elo	爱国精神
elp	 
elq	边界争端
elr	爱国热情
els	胆固醇
elt	䐃
elu	边界冲突
elv	爵
elw	爱国人士
elx	爱国统一战线
ely	舆论
ema	腆
emb	胜败乃兵家常事
emc	 
emd	胦
eme	 
emf	爯
emg	爨
emh	帠
emi	 
emj	 
emk	采购员
eml	受贿罪
emm	悬崖峭壁
emn	膼
emo	 
emp	受贿案
emq	觅
emr	 
ems	 
emt	 
emu	 
emv	爱财如命
emw	肭
emx	悬崖绝壁
emy	 
ena	 
enb	㐍
enc	 
end	力克
ene	 
enf	甩卖
eng	力求
enh	腵
eni	脲
enj	力量
enk	䑀
enl	力图
enm	 
enn	劜
eno	力度
enp	 
enq	力争
enr	肠
ens	爱民模范
ent	力
enu	鼠
env	甩
enw	力促
enx	胒
eny	力主
eoa	 
eob	 
eoc	 
eod	 
eoe	 
eof	脏
eog	 
eoh	 
eoi	 
eoj	 
eok	 
eol	 
eom	 
eon	膔
eoo	腅
eop	 
eoq	膦
eor	 
eos	 
eot	 
eou	䊆
eov	膅
eow	腑
eox	 
eoy	脒
epa	边区
epb	边防
epc	受
epd	爱
epe	边
epf	腙
epg	腚
eph	 
epi	边沿
epj	 
epk	 
epl	爱国
epm	受贿
epn	爱心
epo	 
epp	受灾
epq	腕
epr	膑
eps	 
ept	 
epu	受益
epv	胺
epw	腔
epx	边缘
epy	受训
eqa	胝
eqb	郳
eqc	胜负难测
eqd	脆
eqe	胸脯
eqf	 
eqg	胰岛素
eqh	力争上游
eqi	朓
eqj	彩色电视机
eqk	朐
eql	 
eqm	 
eqn	胞
eqo	舄
eqp	胸襟
eqq	䏧
eqr	胸
eqs	 
eqt	 
equ	爱尔兰
eqv	㬹
eqw	肷
eqx	脆弱
eqy	豹
era	 
erb	朡
erc	胍
erd	遥感
ere	脚手架
erf	遥远
erg	胉
erh	肵
eri	腺
erj	 
erk	乳制品
erl	脾胃
erm	遥
ern	䏗
ero	 
erp	 
erq	貌
err	遥控
ers	脎
ert	脾
eru	悬挂着
erv	力挫群雄
erw	貌似
erx	䑈
ery	遥望
esa	 
esb	采取
esc	 
esd	采矿
ese	彩
esf	膘
esg	彩带
esh	股票上市
esi	采油
esj	彩电
esk	遥相呼应
esl	彩车
esm	采购
esn	 
eso	采煤
esp	采写
esq	彩色
esr	采摘
ess	彩票
est	 
esu	采
esv	腰
esw	膝
esx	采纳
esy	䝗
eta	胀
etb	服务队
etc	服务台
etd	服务态度
ete	胳膊
etf	腹地
etg	胜
eth	臼
eti	腹泻
etj	腹
etk	胳
etl	貔
etm	服务网
etn	县委书记
eto	服务业
etp	服务社
etq	胜负
etr	服务质量
ets	服务机构
ett	彡
etu	服务部
etv	腇
etw	服务体系
etx	服务费
ety	豸
eua	胼
eub	脱险
euc	 
eud	腾
eue	脱脂
euf	受益者
eug	胖
euh	 
eui	脱水
euj	臆
euk	脱
eul	脱困
eum	 
eun	腾飞
euo	脱粒
eup	妥善安置
euq	妥善解决
eur	 
eus	 
eut	妥善处理
euu	脱产
euv	膁
euw	脱贫
eux	䏲
euy	脱离
eva	 
evb	 
evc	䐚
evd	 
eve	腿
evf	妥
evg	肗
evh	 
evi	妥当
evj	 
evk	貂
evl	䐉
evm	 
evn	肍
evo	 
evp	 
evq	 
evr	㼏
evs	 
evt	爱好和平
evu	妥善
evv	 
evw	鵎
evx	 
evy	肒
ewa	股东
ewb	 
ewc	股
ewd	А
ewe	胗
ewf	脍
ewg	脸
ewh	办公桌
ewi	办
ewj	 
ewk	 
ewl	 
ewm	肌肉
ewn	肌
ewo	脸庞
ewp	办公室
ewq	脸色
ewr	股份制
ews	貅
ewt	办公自动化
ewu	用人单位
ewv	办好
eww	脞
ewx	а
ewy	股市
exa	 
exb	加强了
exc	 
exd	奚
exe	脂肪
exf	边疆地区
exg	腰缠万贯
exh	䏖
exi	边缘学科
exj	脂
exk	膙
exl	加强团结
exm	 
exn	加强民族团结
exo	 
exp	脱缰之马
exq	 
exr	 
exs	肺结核
ext	加强管理
exu	䐞
exv	 
exw	加强合作
exx	肶
exy	胟
eya	舆论工具
eyb	脑子
eyc	 
eyd	舆论压力
eye	用户服务
eyf	用户需求
eyg	胶囊
eyh	 
eyi	脑海
eyj	脐
eyk	朜
eyl	膻
eym	 
eyn	脉
eyo	胶粘
eyp	脱离实际
eyq	胶印
eyr	脑
eys	 
eyt	肪
eyu	膀
eyv	脱离群众
eyw	胶
eyx	臃
eyy	舆论认为
faa	示范区
fab	 
fac	雨花台
fad	堪
fae	霰
faf	卋
fag	霸王
fah	武警战士
fai	塔河
faj	卉
fak	霸
fal	㙹
fam	贲
fan	堞
fao	 
fap	塔斯社
faq	域名
far	地区的
fas	霸权
fat	堪称
fau	武警部队
fav	 
faw	塔
fax	地区经济
fay	运营商
fba	地区
fbb	献出了
fbc	 
fbd	地面
fbe	地膜
fbf	地址
fbg	地球
fbh	邗
fbi	地学
fbj	壭
fbk	凷
fbl	地图
fbm	地幔
fbn	地
fbo	进取精神
fbp	赤子之心
fbq	地铁
fbr	地质
fbs	地板
fbt	地处
fbu	地头
fbv	 
fbw	地位
fbx	地线
fby	圾
fca	运营
fcb	却
fcc	动能
fcd	动态
fce	动
fcf	运动
fcg	动画
fch	支点
fci	运河
fcj	索马里
fck	动员
fcl	盍
fcm	 
fcn	翅
fco	云烟
fcp	运
fcq	运销
fcr	魂
fcs	支柱
fct	埃
fcu	去
fcv	未能如愿
fcw	运作
fcx	运费
fcy	却说
fda	城区
fdb	十三陵
fdc	都不能
fdd	老太太
fde	雳
fdf	震
fdg	坧
fdh	坏
fdi	地面水
fdj	埯
fdk	震中
fdl	壥
fdm	需
fdn	城
fdo	博大精深
fdp	教研室
fdq	城镇
fdr	塬
fds	需要
fdt	地大物博
fdu	地矿部
fdv	老百姓
fdw	城堡
fdx	垅
fdy	城市
fea	十月革命
feb	增加了
fec	才貌双全
fed	老朋友
fee	堋
fef	埒
feg	运用于
feh	赤膊上阵
fei	动力学
fej	霾
fek	赤胆忠心
fel	未加思索
fem	协同
fen	增加收入
feo	增加数
fep	协定
feq	霓
fer	喜爱的
fes	地膜覆盖
fet	㔹
feu	动力装置
fev	 
few	协
fex	专用线
fey	协议
ffa	款式
ffb	走进了
ffc	坛
ffd	封面
ffe	十二月
fff	圭
ffg	二十一世纪
ffh	填
ffi	款
ffj	运动量
ffk	运动员
ffl	二十四
ffm	封山
ffn	恚
ffo	专卖店
ffp	填补
ffq	封锁
ffr	过去的
ffs	封顶
fft	堵
ffu	寺
ffv	封建
ffw	运动会
ffx	未雨绸缪
ffy	填充
fga	十七
fgb	起到了
fgc	垤
fgd	十三
fge	博
fgf	圩
fgg	二
fgh	十
fgi	干涉
fgj	垣
fgk	塥
fgl	十四
fgm	武夷山
fgn	十一届三中全会
fgo	垭
fgp	地下室
fgq	地下铁道
fgr	十年
fgs	真理标准
fgt	二千
fgu	坪
fgv	十九
fgw	十分
fgx	二级
fgy	十六
fha	墟
fhb	趣
fhc	坡
fhd	霏
fhe	趄
fhf	直
fhg	址
fhh	赴
fhi	趟
fhj	趁早
fhk	坫
fhl	盐
fhm	起见
fhn	武
fho	走廊
fhp	真实
fhq	趋
fhr	赵
fhs	武术
fht	趱
fhu	走
fhv	超
fhw	真
fhx	超级
fhy	圤
fia	示范
fib	增添了
fic	未能
fid	却没有
fie	霄
fif	违法违纪
fig	霈
fih	土法上马
fii	未
fij	过渡时期
fik	老党员
fil	远洋轮船
fim	未见
fin	未必
fio	 
fip	未被
fiq	违法犯罪
fir	教学质量
fis	教学楼
fit	嫠
fiu	示
fiv	墚
fiw	示例
fix	未经
fiy	武汉市
fja	进攻
fjb	朝阳
fjc	进驻
fjd	进而
fje	井架
fjf	朝
fjg	坦
fjh	刊
fji	进水
fjj	亓
fjk	井
fjl	墁
fjm	进山
fjn	塌
fjo	进度
fjp	进
fjq	埸
fjr	专题报告
fjs	堁
fjt	进行
fju	朝着
fjv	进退
fjw	博览会
fjx	无照经营
fjy	进京
fka	喜获
fkb	露出
fkc	喜欢
fkd	颉
fke	袁
fkf	吉
fkg	埕
fkh	圳
fki	地中海
fkj	进口量
fkk	酃
fkl	进口国
fkm	埚
fkn	喜悦
fko	＃
fkp	吉祥
fkq	喜迎
fkr	鼓舞
fks	吉林
fkt	吉利
fku	鼓
fkv	喜好
fkw	元器件
fkx	哉
fky	远距离
fla	戴
flb	 
flc	 
fld	雷达
fle	㙕
flf	雷
flg	雷击
flh	戴上
fli	载波
flj	雷电
flk	雷鸣
fll	夁
flm	雷同
fln	二轻局
flo	运输业
flp	载客
flq	雷锋
flr	 
fls	 
flt	载重
flu	南辕北辙
flv	塿
flw	载体
flx	载
fly	塄
fma	献花
fmb	南阳
fmc	南通
fmd	南面
fme	南边
fmf	老同志
fmg	垌
fmh	圸
fmi	南海
fmj	南昌
fmk	 
fml	南国
fmm	井冈山
fmn	垲
fmo	 
fmp	南宁
fmq	境内外
fmr	 
fms	南极
fmt	献身
fmu	献
fmv	 
fmw	协同作战
fmx	献给
fmy	坝
fna	专项
fnb	㐊
fnc	喜忧参半
fnd	场面
fne	专用
fnf	䨒
fng	无愧于
fnh	霞
fni	墀
fnj	专题
fnk	霹
fnl	专辑
fnm	场内
fnn	圯
fno	专业
fnp	专家
fnq	场馆
fnr	声
fns	专栏
fnt	专利
fnu	志
fnv	亏
fnw	块
fnx	坭
fny	专
foa	墌
fob	郝
foc	专业对口
fod	頳
foe	赤脚
fof	赫
fog	进度表
foh	覝
foi	塘沽
foj	土库曼
fok	 
fol	 
fom	赤峰
fon	赤壁
foo	埮
fop	赤字
foq	专业银行
for	专业技术
fos	 
fot	圹
fou	赤
fov	塘
fow	专业化
fox	烖
foy	专业户
fpa	考察工作
fpb	勃
fpc	 
fpd	过硬
fpe	十字架
fpf	垸
fpg	壹
fph	过目
fpi	过
fpj	过时
fpk	辻
fpl	毂
fpm	索赔
fpn	真实性
fpo	壶
fpp	超额完成
fpq	过多
fpr	过后
fps	索要
fpt	过程
fpu	过关
fpv	吉祥如意
fpw	壳
fpx	索
fpy	过高
fqa	坻
fqb	元
fqc	均能
fqd	顽
fqe	无力
fqf	无需
fqg	元素
fqh	远眺
fqi	无法
fqj	元旦
fqk	鼋
fql	顽固
fqm	均由
fqn	雹
fqo	无数
fqp	远
fqq	无锡
fqr	元气
fqs	均可
fqt	远程
fqu	均
fqv	无
fqw	坎
fqx	无疑
fqy	无论
fra	朝气蓬勃
frb	违反了
frc	坂
frd	雨后春笋
fre	地质力学
frf	支持者
frg	垢
frh	圻
fri	地质学
frj	直接影响
frk	 
frl	无所畏惧
frm	十年内乱
frn	地热发电
fro	 
frp	真抓实干
frq	直接贸易
frr	直接投资
frs	动手术
frt	埤
fru	走后门
frv	十年如一日
frw	老年人
frx	直接经济损失
fry	坼
fsa	土木工程
fsb	 
fsc	都可能
fsd	无可奈何
fse	 
fsf	堙
fsg	南柯一梦
fsh	霜
fsi	吉林省
fsj	规模最大
fsk	坷
fsl	无可置疑
fsm	 
fsn	 
fso	 
fsp	无本之木
fsq	需要解决
fsr	专机抵达
fss	霖
fst	动植物
fsu	雬
fsv	土木建筑
fsw	零配件
fsx	栽
fsy	霸权主义
fta	走向世界
ftb	教
ftc	才能
ftd	才有
fte	才
ftf	霆
ftg	考
fth	埏
fti	教学
ftj	者
ftk	过程中
ftl	动物园
ftm	垧
ftn	圪
fto	二季度
ftp	考察
ftq	博物馆
ftr	教授
fts	都要
ftt	教委
ftu	二等奖
ftv	都好
ftw	老公
ftx	老
fty	坆
fua	埋头苦干
fub	干部队伍
fuc	 
fud	增大
fue	丧
fuf	幸
fug	垃
fuh	干部战士
fui	增添
fuj	境
fuk	培
ful	增
fum	境内
fun	增收
fuo	过半数
fup	幸福
fuq	增多
fur	丧失
fus	培植
fut	增长
fuu	培养
fuv	霎
fuw	增值
fux	增强
fuy	培训
fva	雪花
fvb	 
fvc	 
fvd	雪原
fve	垠
fvf	雪
fvg	未婚妻
fvh	壗
fvi	埭
fvj	 
fvk	 
fvl	封建思想
fvm	雪山
fvn	城建局
fvo	封建迷信
fvp	埽
fvq	 
fvr	雪白
fvs	 
fvt	雪片
fvu	干群关系
fvv	老奶奶
fvw	超媒体
fvx	进退维谷
fvy	封建主义
fwa	规范
fwb	截取
fwc	十分艰巨
fwd	截面
fwe	无人驾驶
fwf	替
fwg	截至
fwh	截止
fwi	夫
fwj	零星
fwk	老八路
fwl	十分困难
fwm	规
fwn	埠
fwo	截断
fwp	规定
fwq	截留
fwr	替换
fws	垛
fwt	规律
fwu	规章
fwv	夫妇
fww	赍
fwx	规约
fwy	零
fxa	 
fxb	 
fxc	无线通信
fxd	超级大国
fxe	坳
fxf	违纪违法
fxg	堟
fxh	塡
fxi	增强党性
fxj	无线电
fxk	教练员
fxl	无线连接
fxm	无线网
fxn	城乡居民
fxo	 
fxp	老红军
fxq	 
fxr	顽强拼搏
fxs	教练机
fxt	违纪行为
fxu	老弱病残
fxv	无线寻呼
fxw	二级企业
fxx	城乡经济
fxy	坶
fya	教育工作
fyb	教育子女
fyc	地方戏
fyd	超高压
fye	裁
fyf	霅
fyg	培训班
fyh	教育战线
fyi	圡
fyj	霭
fyk	壤
fyl	教育界
fym	地方财政
fyn	垓
fyo	塆
fyp	裁定
fyq	无记名投票
fyr	雱
fys	超文本
fyt	坊
fyu	雯
fyv	城市建设
fyw	坑
fyx	地方经济
fyy	坟
gaa	形式
gab	邢
gac	开通
gad	琪
gae	形
gaf	开支
gag	玒
gah	琊
gai	弄清
gaj	弄
gak	开
gal	开罗
gam	瑛
gan	开发
gao	开业
gap	形容
gaq	璥
gar	形势
gas	开机
gat	开往
gau	开关
gav	开始
gaw	珙
gax	开张
gay	开放
gba	击落
gbb	一阵子
gbc	㻓
gbd	顿感
gbe	击毁
gbf	 
gbg	珥
gbh	 
gbi	开除党籍
gbj	击
gbk	击中
gbl	 
gbm	互联网
gbn	顿
gbo	 
gbp	击穿
gbq	 
gbr	 
gbs	 
gbt	副院长
gbu	 
gbv	击退
gbw	现阶段
gbx	击毙
gby	 
gca	到期
gcb	致函
gcc	 
gcd	到达
gce	致力
gcf	至
gcg	玛
gch	至此
gci	至少
gcj	致电
gck	珆
gcl	 
gcm	五台山
gcn	致以
gco	到底
gcp	致富
gcq	至多
gcr	到手
gcs	到校
gct	到处
gcu	致癌
gcv	 
gcw	至今
gcx	 
gcy	㺨
gda	⒎
gdb	形成了
gdc	正确对待
gdd	△
gde	瑚
gdf	〇
gdg	⒌
gdh	环
gdi	天
gdj	蚕
gdk	吞
gdl	◇
gdm	顼
gdn	忝
gdo	天麻
gdp	＆
gdq	天然
gdr	「
gds	琦
gdt	⒈
gdu	㺯
gdv	⒐
gdw	环保
gdx	珑
gdy	天文
gea	青工
geb	青联
gec	静观
ged	表面
gee	静脉
gef	青
geg	瑗
geh	甫
gei	豕
gej	表明
gek	珈
gel	静默
gem	靓
gen	表情
geo	逐鹿
gep	逐
geq	静
ger	瑶
ges	表格
get	玏
geu	表
gev	表妹
gew	逐个
gex	逐级
gey	表率
gfa	玩艺
gfb	带动了
gfc	珐
gfd	表示感谢
gfe	现场办公
gff	珪
gfg	更进一步
gfh	玕
gfi	环境污染
gfj	于是
gfk	于
gfl	盂
gfm	表示同意
gfn	玮
gfo	平均数
gfp	迂
gfq	玩
gfr	副教授
gfs	 
gft	表示赞赏
gfu	环境意识
gfv	环境建设
gfw	环境保护
gfx	天无绝人之路
gfy	责无旁贷
gga	一项
ggb	带来了
ggc	琶
ggd	一套
gge	琢
ggf	一直
ggg	王
ggh	五
ggi	球
ggj	一是
ggk	球员
ggl	一
ggm	一同
ggn	瑟
ggo	一类
ggp	一定
ggq	一角
ggr	一年
ggs	一样
ggt	一种
ggu	一次
ggv	一群
ggw	琴
ggx	琵
ggy	珏
gha	琥
ghb	下降
ghc	玻
ghd	正
ghe	正月
ghf	下去
ghg	焉
ghh	正餐
ghi	下
ghj	正是
ghk	玷
ghl	一些国家
ghm	与此同时
ghn	丐
gho	政府
ghp	逐步实现
ghq	璨
ghr	正气
ghs	政权
ght	政
ghu	到目前为止
ghv	正如
ghw	一些人
ghx	下乡
ghy	㺪
gia	正常工作
gib	求职
gic	 
gid	逐渐成为
gie	救助
gif	正常运行
gig	来源于
gih	政治上
gii	青海省
gij	求是
gik	政治路线
gil	亚洲国家
gim	琐
gin	政治局委员
gio	救火
gip	救灾
giq	政治解决
gir	青少年
gis	政法机关
git	副省长
giu	政治部
giv	求婚
giw	正常人
gix	政治经济
giy	救
gja	理工
gjb	惠阳
gjc	更能
gjd	更大
gje	更加
gjf	理
gjg	亘
gjh	惠
gji	更深
gjj	更是
gjk	丌
gjl	瑥
gjm	理由
gjn	更快
gjo	理应
gjp	来临之际
gjq	更多
gjr	更
gjs	理想
gjt	更长
gju	更新
